wzrost wyskok szybkosc wiek skok_w_dal skok_wzwyz
198.45 41.33 17.18 24 0.92 1.76
193.04 50.63 26.55 21 0.72 1.72
195.82 30.66 23.00 31 2.33 1.29
205.39 35.19 17.17 15 1.43 1.47
153.16 25.07 17.19 23 2.39 1.85
181.59 36.04 30.29 30 1.89 0.59
193.22 37.16 20.31 33 2.02 1.39
203.42 38.25 23.41 29 1.11 0.52
175.14 52.17 31.75 18 0.97 0.82
169.37 28.52 10.62 28 1.18 1.59
190.55 25.19 21.89 13 0.83 2.38
193.59 54.66 17.04 10 0.51 0.98
167.07 53.59 27.69 27 2.08 1.44
150.77 32.01 21.49 22 1.04 0.74
202.31 39.49 22.42 10 1.91 1.11
192.06 53.08 20.51 17 2.12 1.45
162.61 32.64 30.47 25 1.30 1.25
201.54 46.21 20.27 34 0.79 0.76
203.50 54.17 28.32 29 2.43 1.38
150.32 39.19 28.45 22 2.23 0.77
172.52 55.97 19.50 21 2.20 1.47
187.69 28.60 32.70 16 0.76 0.89
201.50 47.09 24.46 23 1.99 2.16
186.69 40.55 17.26 24 1.09 1.22
187.19 41.15 26.54 11 1.35 1.26
172.49 51.81 34.04 29 0.88 2.39
197.13 44.97 32.40 28 1.45 2.15
192.76 37.73 24.85 19 2.49 1.99
151.32 53.48 30.40 10 1.75 1.11
188.04 52.72 14.74 11 0.94 0.88
162.84 56.18 32.80 32 0.72 1.07
173.76 49.22 33.68 31 0.64 2.26
200.93 52.86 32.56 20 2.18 1.83
186.56 46.12 34.03 25 0.62 1.39
160.59 53.22 12.78 30 1.09 0.86
182.14 45.26 20.11 29 1.38 2.10
156.43 30.25 26.11 12 0.59 1.87
205.13 33.27 16.71 31 1.74 2.18
151.33 26.75 27.93 30 0.68 2.30
154.19 59.23 31.33 11 0.51 2.34
151.02 34.66 11.57 17 1.17 1.33
183.63 30.17 28.51 31 0.65 1.21
151.53 43.34 33.65 24 0.72 2.34
195.03 28.56 24.68 18 1.55 0.69
182.00 40.21 29.90 33 2.06 0.56
193.91 56.99 29.40 25 2.29 2.31
194.82 50.66 10.61 25 1.06 2.39
197.90 44.92 19.79 19 2.43 1.37
178.39 42.13 34.36 28 2.44 0.67
152.90 39.34 10.14 16 0.85 0.91
185.07 43.28 13.95 11 1.74 2.08
197.05 41.65 24.32 30 1.61 2.33
172.46 55.21 34.48 21 1.08 0.74
177.54 45.90 25.37 12 0.53 2.45
194.04 32.93 12.06 23 0.92 0.73
180.96 29.06 21.69 27 1.10 2.43
173.37 51.74 10.82 20 0.78 2.16
167.38 30.11 29.81 33 2.30 1.26
161.90 56.27 15.58 29 2.12 1.84
181.43 41.81 22.54 11 1.72 0.65
180.79 34.22 14.85 14 2.02 1.89
192.66 57.36 18.56 30 2.22 2.07
167.74 40.06 33.31 22 1.99 1.04
175.29 48.71 28.45 12 2.34 1.77
181.50 56.09 29.43 23 2.25 1.96
182.85 48.45 11.17 34 2.24 1.94
204.47 35.79 32.86 20 1.53 0.83
179.99 30.29 25.55 17 1.24 1.43
203.89 55.66 33.43 20 2.03 2.17
158.20 26.77 14.63 22 1.95 1.74
202.00 45.59 26.64 28 2.10 2.34
204.12 36.65 18.55 29 1.34 2.11
205.46 41.37 22.89 33 2.45 1.13
151.57 53.87 23.70 21 1.26 1.98
152.36 45.61 13.02 31 2.06 1.64
152.92 58.55 21.92 30 0.56 1.94
207.06 49.87 27.20 14 2.16 0.78
171.89 32.94 21.86 21 2.44 1.12
173.57 37.63 29.21 32 1.31 0.70
195.96 50.57 18.56 23 1.98 1.91
203.13 31.80 19.85 18 2.34 1.35
178.58 27.99 24.41 14 1.57 2.21
197.73 46.99 19.87 30 0.69 0.67
166.03 52.22 16.88 31 1.01 2.30
195.62 55.73 30.04 26 1.98 1.01
185.35 53.97 19.69 26 0.81 0.94
161.46 25.71 31.75 11 0.54 2.44
190.26 52.73 31.62 14 1.38 0.91
177.79 37.37 19.82 17 1.75 2.23
208.58 58.86 25.27 25 1.40 0.90
203.91 28.96 15.57 26 1.22 2.24
184.76 40.60 32.14 32 1.97 2.03
201.68 44.33 19.12 13 0.89 0.87
175.83 55.88 30.91 10 1.08 1.25
195.57 59.57 18.38 22 0.95 2.13
151.65 32.36 10.71 20 0.51 0.63
198.41 56.56 33.13 18 2.44 1.28
177.53 30.82 23.14 19 0.53 1.51
175.11 37.80 25.54 29 1.93 1.33
205.73 43.89 21.46 33 0.99 0.69
197.00 33.83 30.51 18 1.04 1.30
190.57 43.77 23.40 34 0.75 1.69
168.45 40.19 22.63 26 1.86 2.08
163.82 57.61 16.46 25 1.90 1.17
201.07 36.27 31.04 16 0.89 2.45
175.75 42.02 32.37 13 0.93 1.53
171.28 53.55 11.47 32 0.90 1.96
172.91 49.91 31.73 23 2.14 1.65
169.96 32.43 25.83 30 1.88 1.14
198.76 46.66 33.62 17 0.54 1.94
173.23 57.93 12.48 32 1.33 1.54
187.08 39.17 28.55 32 0.58 0.99
183.57 31.83 19.03 13 1.62 2.37
152.77 51.54 11.08 27 1.56 0.53
177.04 47.73 12.51 24 1.79 1.10
159.51 41.59 13.80 12 1.43 1.03
185.72 41.45 11.06 14 1.30 1.58
194.18 26.97 33.59 28 2.19 2.28
151.64 50.72 22.59 31 1.36 2.45
178.43 58.49 22.87 25 2.01 0.90
155.07 34.16 28.15 15 2.16 2.14
158.72 54.17 28.94 33 2.24 2.22
169.80 41.11 13.50 17 2.46 2.37
186.36 26.95 30.81 25 2.36 1.68
207.46 52.55 15.49 27 1.45 1.30
175.39 28.54 19.61 22 1.44 1.24
152.13 59.48 23.66 19 0.73 0.93
169.39 26.66 20.15 30 1.21 1.15
167.89 51.07 27.51 14 0.69 1.81
182.38 57.81 21.74 34 1.73 1.75
150.97 38.70 12.39 29 2.01 2.17
159.04 56.81 25.22 32 1.63 2.36
180.72 56.08 29.76 13 2.14 2.28
204.61 39.35 28.50 13 1.13 2.47
186.20 26.62 14.86 19 1.42 2.25
176.33 36.86 25.30 17 2.06 1.65
178.49 59.62 28.89 29 1.23 2.42
180.85 41.44 16.40 24 1.83 2.04
199.29 35.75 12.79 22 0.64 1.63
174.55 54.07 21.46 21 0.93 1.01
173.93 51.52 11.07 27 0.90 2.12
209.20 46.87 27.57 32 1.40 1.63
193.77 26.60 12.43 14 1.69 1.53
196.51 58.50 28.39 30 0.61 1.29
183.49 39.67 26.53 15 0.55 0.71
184.84 53.78 30.79 14 0.67 2.31
197.31 28.97 32.60 28 0.94 2.02
180.63 34.61 18.17 29 0.87 1.16
197.01 41.08 23.46 13 0.64 1.12
158.77 26.96 33.12 28 1.06 1.44
207.71 48.77 34.44 11 1.81 1.05
203.71 25.91 34.17 24 0.60 2.41
154.86 34.53 20.95 22 1.59 1.49
189.58 59.57 22.01 20 2.14 0.66
205.95 47.82 29.78 30 1.97 1.89
199.72 32.87 15.10 10 1.03 1.44
150.14 39.43 18.24 22 0.94 0.86
207.86 41.51 12.64 33 2.01 1.89
170.51 56.13 10.55 25 1.35 2.14
156.49 59.71 13.33 31 1.09 1.42
164.25 47.75 27.97 28 0.59 2.50
203.36 47.42 24.44 18 2.37 0.87
160.25 59.97 28.28 29 0.87 1.80
150.54 35.99 24.62 13 1.19 1.24
191.58 44.53 29.61 33 1.97 1.48
176.40 48.55 26.59 15 0.85 1.57
166.02 44.44 10.05 31 2.15 0.71
202.08 50.82 27.28 34 1.19 1.46
150.39 57.98 25.86 26 1.86 2.07
151.75 41.35 10.28 26 1.44 1.21
185.19 58.82 32.03 33 1.13 1.66
167.29 50.61 33.86 31 0.59 0.50
177.75 50.57 31.24 23 2.03 0.59
205.57 36.18 13.79 11 0.62 1.02
177.40 46.25 20.88 27 1.87 1.48
159.91 51.02 18.61 27 1.94 1.30
178.68 47.07 22.50 13 1.06 2.27
180.32 38.92 10.83 19 1.10 0.50
163.67 36.21 29.13 21 1.45 0.70
158.45 59.28 22.47 18 2.38 1.61
189.27 27.12 32.17 23 1.72 0.75
180.49 25.92 19.52 11 0.59 1.40
185.11 33.21 11.92 32 2.21 0.71
207.71 34.23 20.16 28 1.30 1.26
176.86 51.15 18.87 22 2.24 1.75
173.08 49.97 18.32 22 1.70 1.18
190.55 31.23 12.11 30 2.30 2.14
166.24 42.52 17.98 19 1.17 2.41
178.24 55.28 15.72 18 0.76 0.62
196.43 45.85 17.16 28 2.27 2.07
199.08 43.38 29.26 14 1.75 1.63
185.29 31.29 12.75 16 2.28 2.30
157.80 38.95 10.45 10 2.43 2.19
184.57 44.05 11.38 23 2.25 1.57
169.97 27.13 29.33 31 2.02 1.33
157.74 48.50 14.85 23 0.73 2.37
153.62 48.04 29.50 12 1.34 0.72
198.64 47.29 12.46 32 2.49 1.47
168.99 46.78 16.72 31 2.34 1.52
194.92 39.54 18.47 22 1.19 2.29
191.48 35.17 24.86 34 0.83 1.36
207.46 42.39 30.19 25 2.49 2.26
168.55 34.41 33.51 26 0.59 1.68
170.49 38.26 18.12 29 1.81 0.87
195.71 26.79 21.67 15 1.24 0.83
204.86 48.11 13.48 28 1.57 1.03
166.64 46.00 17.40 19 2.25 1.34
164.36 48.84 19.64 21 0.98 1.28
166.99 39.06 25.65 16 1.75 1.84
198.88 40.56 22.17 29 1.26 0.59
205.99 33.98 10.38 11 2.03 1.09
169.93 39.74 11.59 17 1.03 1.58
207.79 47.84 16.19 33 2.44 0.96
168.40 32.70 21.17 20 0.73 2.20
162.54 39.92 17.43 25 1.80 2.03
199.50 28.34 22.37 22 1.78 2.00
175.78 54.00 27.13 19 1.02 2.34
162.34 52.72 12.35 20 0.82 2.27
189.57 59.49 17.46 33 1.38 1.09
155.25 53.23 32.81 20 1.97 2.00
183.83 49.18 27.27 13 2.46 2.06
180.92 30.54 28.44 11 1.50 1.69
173.51 36.60 25.76 23 0.75 2.44
179.56 33.84 16.80 27 2.48 2.45
197.90 49.35 24.38 34 1.10 0.63
187.26 31.51 13.34 14 2.44 2.12
182.89 48.72 23.97 10 2.38 0.54
181.03 37.56 25.52 18 2.35 2.11
206.40 25.30 19.95 31 1.23 1.20
185.70 58.38 29.07 11 2.36 1.74
153.45 26.28 13.18 30 2.18 0.86
191.08 49.75 19.87 33 0.51 0.61
186.48 59.30 30.36 32 1.85 2.13
175.14 46.59 27.95 23 2.03 0.96
196.72 56.20 27.85 21 1.69 1.02
160.42 48.94 17.79 32 2.33 2.16
169.65 50.17 30.75 28 0.67 0.51
199.73 38.10 28.03 22 2.40 0.55
195.29 54.49 28.38 27 1.12 2.21
166.33 46.71 11.83 27 1.70 2.27
157.28 34.92 29.18 20 0.86 1.13
196.35 32.71 22.42 32 0.89 1.61
194.97 43.85 19.90 14 1.81 1.78
204.94 58.32 13.85 26 1.95 0.55
184.43 51.31 16.51 28 1.84 1.67
182.19 46.11 27.59 27 1.19 1.88
197.00 25.31 28.16 24 1.72 1.79
202.51 44.80 18.25 26 2.25 1.02
196.37 38.31 17.45 30 1.43 0.55
164.58 59.54 24.27 30 0.66 1.96
181.74 42.80 17.09 19 1.57 1.37
183.96 43.45 25.39 25 0.70 0.88
152.52 47.03 23.29 30 0.75 2.07
196.81 33.47 14.95 34 0.75 1.68
187.72 36.71 26.80 16 1.10 1.75
171.50 29.44 24.76 31 0.90 2.30
153.92 42.88 21.77 12 1.18 2.47
181.83 32.02 28.76 12 1.33 2.30
166.59 56.33 12.91 10 2.27 1.84
190.76 51.58 24.61 23 2.17 2.08
165.04 56.74 31.46 16 0.75 1.53
187.62 43.58 17.54 13 1.61 1.92
152.04 51.11 30.50 20 0.75 2.10
167.22 52.83 26.38 23 2.13 0.67
179.16 32.75 20.37 11 1.28 2.15
161.12 49.39 22.04 11 1.35 1.61
154.84 35.91 23.96 25 2.47 0.63
168.25 38.69 27.88 24 1.89 0.69
156.93 57.46 16.88 11 1.60 1.73
158.49 44.48 17.96 11 2.07 0.56
156.43 45.91 15.95 27 1.67 2.36
189.69 58.04 34.43 27 0.56 1.10
184.45 35.25 32.87 16 2.29 0.74
189.74 54.79 30.85 29 2.00 2.09
171.05 30.41 34.55 22 2.31 2.02
164.25 36.48 29.95 31 2.27 2.30
204.54 37.35 22.17 22 2.12 1.20
182.22 56.82 33.50 23 1.50 1.53
190.76 27.32 31.09 33 1.02 0.93
153.61 45.81 27.15 10 1.45 2.44
179.41 58.63 19.09 32 0.69 1.60
180.23 32.59 24.87 27 0.68 0.82
202.60 35.40 28.53 20 1.61 1.27
150.49 27.84 13.88 20 1.61 2.01
194.42 28.47 13.20 25 2.49 1.94
164.26 31.43 12.29 13 0.83 2.01
170.93 55.18 19.94 18 2.45 1.91
200.67 47.84 24.85 20 2.28 1.06
197.28 45.78 29.13 15 1.91 2.29
186.88 34.20 32.73 23 1.54 1.42
157.42 35.56 30.12 16 1.43 2.31
151.14 58.09 24.55 18 1.34 2.17
155.18 55.60 10.60 10 1.19 0.74
196.07 38.52 28.15 11 1.12 1.64
209.66 41.98 30.54 10 2.07 0.72
198.40 42.80 32.80 12 1.54 1.51
150.33 39.19 11.41 32 2.13 2.08
180.88 32.64 22.59 28 2.06 1.01
196.82 41.27 12.00 31 1.38 1.13
151.06 46.72 11.75 29 2.29 2.05
179.44 43.22 14.49 17 2.48 0.99
209.13 36.50 22.97 32 1.28 2.03
202.40 29.97 33.05 23 2.02 1.22
202.73 56.92 14.60 32 0.59 2.35
175.43 40.91 29.98 22 1.60 1.19
192.18 58.64 18.37 12 0.86 2.13
183.46 25.28 23.45 18 1.47 1.73
172.55 49.83 13.00 30 1.16 1.85
182.04 42.59 30.24 33 1.64 2.26
176.49 48.43 18.73 13 0.94 2.28
157.36 27.42 25.97 31 0.65 0.52
163.05 43.24 32.33 15 1.64 2.20
196.72 41.75 33.85 25 0.62 1.61
156.84 27.42 10.62 21 1.61 1.92
152.44 54.53 22.60 30 1.67 1.75
195.88 26.17 16.89 21 1.02 0.64
161.21 29.95 14.45 12 0.72 2.38
205.05 38.11 22.23 26 1.36 0.68
188.64 49.96 14.50 18 1.35 1.42
191.06 35.44 18.18 21 0.90 0.73
173.43 58.55 24.51 30 1.16 0.55
162.11 57.08 22.01 20 1.01 1.34
208.49 28.05 32.86 14 0.99 0.70
164.32 50.80 29.15 21 1.06 0.57
156.97 48.88 18.95 13 1.98 1.25
182.39 48.74 25.32 25 0.57 0.51
165.51 44.12 14.95 33 2.04 2.40
162.09 58.37 13.84 11 0.78 1.93
179.80 47.58 11.53 32 1.09 1.49
179.08 59.59 23.39 12 2.02 0.53
188.36 57.06 27.44 22 2.29 1.80
177.83 56.40 34.21 11 1.35 2.13
168.62 35.78 12.06 19 0.91 1.19
201.26 28.30 26.88 28 0.55 1.97
188.86 55.92 27.39 25 2.16 1.35
181.14 53.07 30.41 14 1.32 2.43
182.17 55.04 30.33 34 1.00 1.91
187.98 29.47 18.57 15 1.06 2.33
174.24 59.12 21.99 18 1.64 2.46
193.42 46.17 34.52 23 0.82 1.54
172.36 51.42 24.83 12 1.91 1.99
200.67 25.44 33.30 17 0.59 1.26
167.65 30.62 29.33 11 1.46 1.81
173.52 25.59 12.95 18 1.63 1.00
162.13 42.77 27.04 21 1.74 1.61
161.13 58.98 33.65 17 2.45 0.90
160.36 36.48 24.40 19 2.32 2.41
163.07 55.39 28.41 18 1.25 1.28
205.07 40.68 10.52 25 1.60 1.49
185.65 46.11 18.68 19 0.74 0.72
203.63 31.59 19.57 11 2.27 1.92
204.08 56.30 23.76 11 1.57 1.07
153.83 41.98 22.49 28 2.49 1.63
190.41 32.08 16.01 32 0.96 2.43
161.73 53.47 19.68 12 0.50 2.40
178.32 53.57 16.63 23 1.53 1.76
156.12 54.38 15.13 25 0.71 0.89
162.58 26.71 15.64 29 2.43 2.20
155.07 57.32 16.15 22 1.46 1.95
204.16 27.87 20.13 32 1.42 1.53
169.44 58.14 17.33 29 2.47 0.86
176.49 45.91 13.90 18 1.39 1.06
198.94 47.07 28.01 29 2.48 1.57
197.45 49.25 13.45 18 0.92 1.09
181.40 29.25 32.08 19 0.64 0.65
208.17 51.94 24.70 32 1.15 1.44
186.71 36.54 21.47 24 1.02 1.49
209.03 37.87 16.81 23 0.83 1.49
201.68 43.08 21.28 27 2.36 2.22
197.61 36.92 12.69 28 2.43 1.85
165.16 38.62 31.87 15 1.54 1.45
